s,p,o
http://wistor.nl/utrecht/areaaldata/id/023949DB-5C65-4F5C-8F11-D63F7A71E896,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/A464E49F-ACE4-43DC-9559-250D95D262BB
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,http://www.opengis.net/ont/geosparql#asGeoJSON,"{""type"":""LineString"",""coordinates"":[[5.111821731008702,52.0923961440149],[5.111873681505318,52.0924185163538]]}"
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,http://www.opengis.net/ont/geosparql#asWKT,"LineString (5.111821731008702 52.0923961440149, 5.111873681505318 52.0924185163538)"
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://data.crow.nl/imbor/def/ea3de512-7af7-439f-bdd4-1ddacf6cc2bc
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,http://www.wistor.nl/imborconversie#C_pl_Contouren_ID,{05482D8E-84E9-4F42-AA6B-709F1F96A205}
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,https://data.crow.nl/imbor/def/1e0da1f5-df4c-4b39-ae26-e47cc2d3b847,"Hoog Catharijne, Leidseveer, NS"
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,https://data.crow.nl/imbor/def/2b1b2ffa-6cdd-4c54-b8c3-475757e347ff,4.3440519817
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,https://data.crow.nl/imbor/def/4e721262-e6e2-41df-bb99-0b6693e32435,https://data.crow.nl/imbor/id/domeinwaarden/01a31554-111c-4765-82cb-79f0b178eb8e
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,https://data.crow.nl/imbor/def/53b695c9-5b86-425e-b65a-537c6d6868e2,150
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,https://data.crow.nl/imbor/def/5f430c8d-7503-4a69-9e2f-f0b6e6c7f54e,{05482D8E-84E9-4F42-AA6B-709F1F96A205}
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,https://data.crow.nl/imbor/def/888e13ae-214e-471e-839b-79d77d69d46e,"LineString (136128.016487488 456051.295318696, 136131.586095367 456053.770937247)"
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,https://data.crow.nl/imbor/def/e131b17d-2b7f-4647-95df-ce38ec97a3f2,Binnenstad city- en winkelgebied
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,https://data.crow.nl/imbor/def/eddf0b00-9121-490c-8d2c-272d1e67d8c3,BINNENSTAD
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/854E0ED3-5767-4BD0-9A56-0D837C94436F
http://wistor.nl/utrecht/areaaldata/id/05482D8E-84E9-4F42-AA6B-709F1F96A205,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/E77FB130-A4D9-4D91-97E9-B54017FEE356
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,http://www.opengis.net/ont/geosparql#asGeoJSON,"{""type"":""LineString"",""coordinates"":[[5.112183954693181,52.09176988762104],[5.112387086911162,52.09184027174316]]}"
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,http://www.opengis.net/ont/geosparql#asWKT,"LineString (5.112183954693181 52.09176988762104, 5.112387086911162 52.09184027174316)"
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://data.crow.nl/imbor/def/ea3de512-7af7-439f-bdd4-1ddacf6cc2bc
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,http://www.wistor.nl/imborconversie#C_pl_Contouren_ID,{074B8753-79FD-42AA-9F60-AD84FD292086}
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,https://data.crow.nl/imbor/def/1e0da1f5-df4c-4b39-ae26-e47cc2d3b847,"Hoog Catharijne, Leidseveer, NS"
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,https://data.crow.nl/imbor/def/2b1b2ffa-6cdd-4c54-b8c3-475757e347ff,15.9723466302
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,https://data.crow.nl/imbor/def/4e721262-e6e2-41df-bb99-0b6693e32435,https://data.crow.nl/imbor/id/domeinwaarden/01a31554-111c-4765-82cb-79f0b178eb8e
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,https://data.crow.nl/imbor/def/53b695c9-5b86-425e-b65a-537c6d6868e2,157
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,https://data.crow.nl/imbor/def/5f430c8d-7503-4a69-9e2f-f0b6e6c7f54e,{074B8753-79FD-42AA-9F60-AD84FD292086}
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,https://data.crow.nl/imbor/def/888e13ae-214e-471e-839b-79d77d69d46e,"LineString (136152.57586968 455981.52482732, 136166.52636326 455989.302975284)"
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,https://data.crow.nl/imbor/def/e131b17d-2b7f-4647-95df-ce38ec97a3f2,Binnenstad city- en winkelgebied
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,https://data.crow.nl/imbor/def/eddf0b00-9121-490c-8d2c-272d1e67d8c3,BINNENSTAD
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/5A2A7C48-6594-466F-8E17-596A5A1F6167
http://wistor.nl/utrecht/areaaldata/id/074B8753-79FD-42AA-9F60-AD84FD292086,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/FD4DBC39-252F-4D02-AC41-3F36F213B02B
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,http://www.opengis.net/ont/geosparql#asGeoJSON,"{""type"":""LineString"",""coordinates"":[[5.126677030119626,52.11623491227028],[5.126701386950563,52.11624672239971],[5.126732448872003,52.11626290652245]]}"
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,http://www.opengis.net/ont/geosparql#asWKT,"LineString (5.126732448872003 52.11626290652245, 5.126701386950563 52.11624672239971, 5.126677030119626 52.11623491227028)"
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://data.crow.nl/imbor/def/ea3de512-7af7-439f-bdd4-1ddacf6cc2bc
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,http://www.wistor.nl/imborconversie#C_pl_Contouren_ID,{197C0AB3-7420-4CBE-8C73-34DE213BE3FA}
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,https://data.crow.nl/imbor/def/1e0da1f5-df4c-4b39-ae26-e47cc2d3b847,Wolgadreef e.o.
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,https://data.crow.nl/imbor/def/2b1b2ffa-6cdd-4c54-b8c3-475757e347ff,4.9108849341
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,https://data.crow.nl/imbor/def/4e721262-e6e2-41df-bb99-0b6693e32435,https://data.crow.nl/imbor/id/domeinwaarden/01a31554-111c-4765-82cb-79f0b178eb8e
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,https://data.crow.nl/imbor/def/53b695c9-5b86-425e-b65a-537c6d6868e2,129
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,https://data.crow.nl/imbor/def/5f430c8d-7503-4a69-9e2f-f0b6e6c7f54e,{197C0AB3-7420-4CBE-8C73-34DE213BE3FA}
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,https://data.crow.nl/imbor/def/888e13ae-214e-471e-839b-79d77d69d46e,"LineString (137159.373 458702.916, 137157.239 458701.123, 137155.566 458699.815)"
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,https://data.crow.nl/imbor/def/e131b17d-2b7f-4647-95df-ce38ec97a3f2,"Taagdreef,Wolgadreef"
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,https://data.crow.nl/imbor/def/eddf0b00-9121-490c-8d2c-272d1e67d8c3,OVERVECHT
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/00321B17-B54D-4007-A5D2-5AC74E968054
http://wistor.nl/utrecht/areaaldata/id/197C0AB3-7420-4CBE-8C73-34DE213BE3FA,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/8684E649-9C68-4EAE-92F0-D7E415178407
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,http://www.opengis.net/ont/geosparql#asGeoJSON,"{""type"":""LineString"",""coordinates"":[[5.114502360774046,52.09202890125649],[5.11450961473188,52.092030406733166],[5.114650636798896,52.092016389214834],[5.114723227104289,52.09201478478815],[5.11476193301207,52.09200993301874],[5.114804140194662,52.09200732090652],[5.114855041150317,52.092000790943985],[5.114901508881264,52.09199098503143],[5.114911840798547,52.091989400221806]]}"
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,http://www.opengis.net/ont/geosparql#asWKT,"LineString (5.114502360774046 52.09202890125649, 5.11450961473188 52.092030406733166, 5.114650636798896 52.092016389214834, 5.114723227104289 52.09201478478815, 5.11476193301207 52.09200993301874, 5.114804140194662 52.09200732090652, 5.114855041150317 52.092000790943985, 5.114901508881264 52.09199098503143, 5.114911840798547 52.091989400221806)"
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://data.crow.nl/imbor/def/ea3de512-7af7-439f-bdd4-1ddacf6cc2bc
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,http://www.wistor.nl/imborconversie#C_pl_Contouren_ID,{1C7CEAF3-94DA-4C58-A622-53CCC962A425}
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,https://data.crow.nl/imbor/def/1e0da1f5-df4c-4b39-ae26-e47cc2d3b847,"Hoog Catharijne, Leidseveer, NS"
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,https://data.crow.nl/imbor/def/2b1b2ffa-6cdd-4c54-b8c3-475757e347ff,28.5649461394
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,https://data.crow.nl/imbor/def/4e721262-e6e2-41df-bb99-0b6693e32435,https://data.crow.nl/imbor/id/domeinwaarden/b5a9a70f-97ec-4025-bcd0-06c38ac8073a
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,https://data.crow.nl/imbor/def/53b695c9-5b86-425e-b65a-537c6d6868e2,109
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,https://data.crow.nl/imbor/def/5f430c8d-7503-4a69-9e2f-f0b6e6c7f54e,{1C7CEAF3-94DA-4C58-A622-53CCC962A425}
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,https://data.crow.nl/imbor/def/888e13ae-214e-471e-839b-79d77d69d46e,"LineString (136311.566867686 456009.743244543, 136312.064615038 456009.908875351, 136321.723096687 456008.31302921, 136326.6970895 456008.115857308, 136329.347606676 456007.566105372, 136332.23900377 456007.264636153, 136335.724556965 456006.525039755, 136338.90493267 456005.422107071, 136339.612325283 456005.243128732)"
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,https://data.crow.nl/imbor/def/e131b17d-2b7f-4647-95df-ce38ec97a3f2,Binnenstad city- en winkelgebied
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,https://data.crow.nl/imbor/def/eddf0b00-9121-490c-8d2c-272d1e67d8c3,BINNENSTAD
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/3096CCE4-17A9-4B4C-B2E6-56E305038C2D
http://wistor.nl/utrecht/areaaldata/id/1C7CEAF3-94DA-4C58-A622-53CCC962A425,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/5F303058-345E-4332-95D0-507FC202DA11
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,http://www.opengis.net/ont/geosparql#asGeoJSON,"{""type"":""LineString"",""coordinates"":[[5.114945243766894,52.09194744752102],[5.115049000134258,52.091979729330774]]}"
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,http://www.opengis.net/ont/geosparql#asWKT,"LineString (5.114945243766894 52.09194744752102, 5.115049000134258 52.091979729330774)"
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://data.crow.nl/imbor/def/ea3de512-7af7-439f-bdd4-1ddacf6cc2bc
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,http://www.wistor.nl/imborconversie#C_pl_Contouren_ID,{242EB29C-176F-4561-845A-8BD5CAB67FDE}
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,https://data.crow.nl/imbor/def/1e0da1f5-df4c-4b39-ae26-e47cc2d3b847,"Hoog Catharijne, Leidseveer, NS"
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,https://data.crow.nl/imbor/def/1e0da1f5-df4c-4b39-ae26-e47cc2d3b847,"Lange Elisabethstraat, Mariaplaats e.o."
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,https://data.crow.nl/imbor/def/2b1b2ffa-6cdd-4c54-b8c3-475757e347ff,7.9661748814
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,https://data.crow.nl/imbor/def/4e721262-e6e2-41df-bb99-0b6693e32435,https://data.crow.nl/imbor/id/domeinwaarden/b5a9a70f-97ec-4025-bcd0-06c38ac8073a
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,https://data.crow.nl/imbor/def/53b695c9-5b86-425e-b65a-537c6d6868e2,111
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,https://data.crow.nl/imbor/def/5f430c8d-7503-4a69-9e2f-f0b6e6c7f54e,{242EB29C-176F-4561-845A-8BD5CAB67FDE}
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,https://data.crow.nl/imbor/def/888e13ae-214e-471e-839b-79d77d69d46e,"LineString (136341.883957787 456000.566946528, 136349.007920871 456004.131927905)"
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,https://data.crow.nl/imbor/def/e131b17d-2b7f-4647-95df-ce38ec97a3f2,Binnenstad city- en winkelgebied
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,https://data.crow.nl/imbor/def/eddf0b00-9121-490c-8d2c-272d1e67d8c3,BINNENSTAD
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/10C9EC0C-90AB-4CA3-8FBB-B7D1F2A2ACE5
http://wistor.nl/utrecht/areaaldata/id/242EB29C-176F-4561-845A-8BD5CAB67FDE,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/FC16CF29-6DA3-4970-BA7F-319ADFD031B3
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,http://www.opengis.net/ont/geosparql#asGeoJSON,"{""type"":""LineString"",""coordinates"":[[5.115000523178405,52.09193428412362],[5.115061296658718,52.091957156564554]]}"
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,http://www.opengis.net/ont/geosparql#asWKT,"LineString (5.115000523178405 52.09193428412362, 5.115061296658718 52.091957156564554)"
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://data.crow.nl/imbor/def/ea3de512-7af7-439f-bdd4-1ddacf6cc2bc
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,http://www.wistor.nl/imborconversie#C_pl_Contouren_ID,{249ECD4D-70DD-4582-B312-E3A4D811488F}
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,https://data.crow.nl/imbor/def/1e0da1f5-df4c-4b39-ae26-e47cc2d3b847,"Hoog Catharijne, Leidseveer, NS"
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,https://data.crow.nl/imbor/def/1e0da1f5-df4c-4b39-ae26-e47cc2d3b847,"Lange Elisabethstraat, Mariaplaats e.o."
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,https://data.crow.nl/imbor/def/2b1b2ffa-6cdd-4c54-b8c3-475757e347ff,4.8807921503
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,https://data.crow.nl/imbor/def/4e721262-e6e2-41df-bb99-0b6693e32435,https://data.crow.nl/imbor/id/domeinwaarden/b5a9a70f-97ec-4025-bcd0-06c38ac8073a
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,https://data.crow.nl/imbor/def/53b695c9-5b86-425e-b65a-537c6d6868e2,116
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,https://data.crow.nl/imbor/def/5f430c8d-7503-4a69-9e2f-f0b6e6c7f54e,{249ECD4D-70DD-4582-B312-E3A4D811488F}
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,https://data.crow.nl/imbor/def/888e13ae-214e-471e-839b-79d77d69d46e,"LineString (136345.666810142 455999.088205344, 136349.841200483 456001.617354864)"
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,https://data.crow.nl/imbor/def/e131b17d-2b7f-4647-95df-ce38ec97a3f2,Binnenstad city- en winkelgebied
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,https://data.crow.nl/imbor/def/eddf0b00-9121-490c-8d2c-272d1e67d8c3,BINNENSTAD
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/657984D1-6C7C-4122-8C95-4E797AE4206A
http://wistor.nl/utrecht/areaaldata/id/249ECD4D-70DD-4582-B312-E3A4D811488F,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/72E23AC4-79A2-480B-93AC-9005DF8F6299
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,http://www.opengis.net/ont/geosparql#asGeoJSON,"{""type"":""LineString"",""coordinates"":[[5.114995390205132,52.09192869396851],[5.115101391302714,52.09181434560378]]}"
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,http://www.opengis.net/ont/geosparql#asWKT,"LineString (5.114995390205132 52.09192869396851, 5.115101391302714 52.09181434560378)"
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://data.crow.nl/imbor/def/ea3de512-7af7-439f-bdd4-1ddacf6cc2bc
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,http://www.wistor.nl/imborconversie#C_pl_Contouren_ID,{253BBB01-81BE-4DC0-9780-2B2BE57F6271}
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,https://data.crow.nl/imbor/def/1e0da1f5-df4c-4b39-ae26-e47cc2d3b847,"Hoog Catharijne, Leidseveer, NS"
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,https://data.crow.nl/imbor/def/2b1b2ffa-6cdd-4c54-b8c3-475757e347ff,14.650231911
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,https://data.crow.nl/imbor/def/4e721262-e6e2-41df-bb99-0b6693e32435,https://data.crow.nl/imbor/id/domeinwaarden/b5a9a70f-97ec-4025-bcd0-06c38ac8073a
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,https://data.crow.nl/imbor/def/53b695c9-5b86-425e-b65a-537c6d6868e2,117
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,https://data.crow.nl/imbor/def/5f430c8d-7503-4a69-9e2f-f0b6e6c7f54e,{253BBB01-81BE-4DC0-9780-2B2BE57F6271}
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,https://data.crow.nl/imbor/def/888e13ae-214e-471e-839b-79d77d69d46e,"LineString (136345.312712376 455998.467570619, 136352.529390536 455985.71810587)"
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,https://data.crow.nl/imbor/def/e131b17d-2b7f-4647-95df-ce38ec97a3f2,Binnenstad city- en winkelgebied
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,https://data.crow.nl/imbor/def/eddf0b00-9121-490c-8d2c-272d1e67d8c3,BINNENSTAD
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/3A0C8A07-DAB5-4BDA-AE3D-CE0E48E5985B
http://wistor.nl/utrecht/areaaldata/id/253BBB01-81BE-4DC0-9780-2B2BE57F6271,https://w3id.org/nen2660/def#isDescribedBy,http://wistor.nl/utrecht/areaaldata/id/8E097781-0B28-4572-B268-ADD789BC775A
http://wistor.nl/utrecht/areaaldata/id/2996FDA1-AF61-4CE8-A6FC-65AA556ACF03,http://www.opengis.net/ont/geosparql#asGeoJSON,"{""type"":""LineString"",""coordinates"":[[5.114506687433694,52.09202204904821],[5.114586059060784,52.091935135244235]]}"
